brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address,configuration
Chevrolet,Equinox,2021,30678,White,,Used,"SUV, Crossover",Other,Gasoline,2GNAXUEV3M6161412,81202,,PA1412,https://media.kijiji.ca/api/v1/autos-prod-ads/images/cc/cc65a393-8188-4d58-8944-de126f22d2fb?rule=kijijica-640-jpg,,
Chevrolet,Silverado 1500,2019,39996,Grey,,Used,Other,Other,Automatic,Other,164654,,1GCUYEED8KZ303674,https://media.kijiji.ca/api/v1/autos-prod-ads/images/42/428d4782-9408-4710-b256-8a145a875d7c?rule=kijijica-640-jpg,,
GMC,Savana,2017,21500,,,Used,,,,,132500,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/0e/0e5d4286-475e-4f81-9489-efa38d070b5b?rule=kijijica-640-jpg,,
Nissan,Sentra,2016,14995,Grey,,Used,Sedan,Front-wheel drive (FWD),Manual,Gasoline,143073,,3N1AB7AP2GL645753,https://media.kijiji.ca/api/v1/autos-prod-ads/images/54/5467c0dc-9cb4-4c2e-a1cc-d755ed89fb10?rule=kijijica-640-jpg,,
Chevrolet,Silverado 1500,2018,31995,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,124203,,3GCUKNEC9JG595648,https://media.kijiji.ca/api/v1/autos-prod-ads/images/88/884120a3-ace4-46b2-8366-6f836955e37e?rule=kijijica-640-jpg,,
Jeep,Grand Cherokee,2021,59877,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,65097,,1C4RJKDGXM8127286,https://media.kijiji.ca/api/v1/autos-prod-ads/images/4f/4f55ad19-5328-48a9-8cd7-c6607987deb4?rule=kijijica-640-jpg,,
Ram,1500,2018,32093,Red,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,134509,,1C6RR7LT1JS170179,https://media.kijiji.ca/api/v1/autos-prod-ads/images/61/61cb1e3c-d050-4ee2-a01d-af00c45d47b3?rule=kijijica-640-jpg,,
Ram,2500,2015,36900,White,,Used,Other,4 x 4,Automatic,Diesel,204475,,3C6UR5GL9FG704584,https://media.kijiji.ca/api/v1/autos-prod-ads/images/3b/3b9bdbf0-9720-4e80-827c-13f7ca4896b4?rule=kijijica-640-jpg,,
Jeep,Gladiator,2020,43888,Red,,Used,Other,4 x 4,Automatic,Gasoline,78964,,1C6HJTAG6LL104242,https://media.kijiji.ca/api/v1/autos-prod-ads/images/5f/5ff1f33d-598a-4c5e-8d84-2d19da301673?rule=kijijica-640-jpg,,
Mazda,Mazda3 Sport,2014,10994,White,,Used,Hatchback,Front-wheel drive (FWD),Manual,Gasoline,180807,,JM1BM1L79E1189504,http://img.youtube.com/vi/PYl85atKbLM/sddefault.jpg,,
Ford,Explorer,2022,49996,Grey,,Used,"SUV, Crossover",Other,Automatic,Gasoline,43652,,1FMSK8JH5NGB55059,https://media.kijiji.ca/api/v1/autos-prod-ads/images/5d/5ddfb74d-b6c7-4993-8633-cd13670d7161?rule=kijijica-640-jpg,,
Chevrolet,Corvette,2021,109987,Blue,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,6528,,1G1YB2D48M5111077,https://media.kijiji.ca/api/v1/autos-prod-ads/images/4f/4fece505-b6f8-46e7-9bf7-27b1a8495f11?rule=kijijica-640-jpg,,
Land Rover,Discovery,2019,45990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,76517,,SALRT2RV9K2412992,https://media.kijiji.ca/api/v1/autos-prod-ads/images/1b/1b6e6d84-858d-445e-aeb9-19da0889d809?rule=kijijica-640-jpg,,
Porsche,Macan,2015,29990,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,145000,,WP1AB2A51FLB41024,https://media.kijiji.ca/api/v1/autos-prod-ads/images/98/983ce46f-58e3-44b7-adb0-c877ea3b0e0e?rule=kijijica-640-jpg,,
Toyota,Highlander,2020,42990,Other,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,60328,,5TDGZRBH9LS522428,https://media.kijiji.ca/api/v1/autos-prod-ads/images/83/83ade1e2-bbeb-43d2-afc1-2d64fc581410?rule=kijijica-640-jpg,,
Toyota,4Runner,2021,54990,"SUV, Crossover",,Used,4 x 4,Automatic,Gasoline,JTEBU5JR4M5934593,29000,,PA4593,https://media.kijiji.ca/api/v1/autos-prod-ads/images/74/748f3b11-70e8-4f95-8ced-ee426680e956?rule=kijijica-640-jpg,,
Chevrolet,Suburban,2017,37900,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,140675,,1GNSKHKCXHR185178,https://media.kijiji.ca/api/v1/autos-prod-ads/images/e5/e5ea65fe-a205-49f2-854e-61a66df2602f?rule=kijijica-640-jpg,,
Ford,Explorer,2017,22900,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,166484,,1FM5K8F87HGA38593,https://media.kijiji.ca/api/v1/autos-prod-ads/images/4c/4cc6398a-b7ba-484c-ac26-867cb61d5e07?rule=kijijica-640-jpg,,
Porsche,911,2019,129790,Grey,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,13715,,WP0AA2A90KS104389,https://media.kijiji.ca/api/v1/autos-prod-ads/images/62/629edb7f-233a-4a74-b504-4bab77d20937?rule=kijijica-640-jpg,,
Volkswagen,Tiguan,2019,27989,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,58012,,3VV2B7AX6KM082065,https://media.kijiji.ca/api/v1/autos-prod-ads/images/00/002e7ee6-3ff9-4049-9a44-ecb004c7f012?rule=kijijica-640-jpg,,
Ford,Escape,2021,31990,Grey,,Used,"SUV, Crossover",Other,Gasoline,1FMCU9H66MUA72149,55334,,PA2149,https://media.kijiji.ca/api/v1/autos-prod-ads/images/06/06107028-3b26-4a6c-a645-6f114fe5f055?rule=kijijica-640-jpg,,
Hyundai,Sonata,2021,27111,White,,Used,Sedan,Other,Gasoline,5NPEG4JA3MH127365,80702,,PA7365,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0f097278-db11-4bd1-a0b6-1fb9eacf96e1?rule=kijijica-640-jpg,,
Audi,A6,2014,23990,White,,Used,Sedan,All-wheel drive (AWD),Automatic,Diesel,131000,,WAUHMCFC1EN012871,https://media.kijiji.ca/api/v1/autos-prod-ads/images/29/29cc5702-71d1-4b06-bc8a-9da68e3fa3cb?rule=kijijica-640-jpg,,
Ford,Escape,2018,23900,Other,,Used,"SUV, Crossover",4 x 4,Gasoline,1FMCU9HD0JUB64111,108864,,F23108A,https://media.kijiji.ca/api/v1/autos-prod-ads/images/bf/bf46eb56-7439-4b49-8a26-c13cf8b51ece?rule=kijijica-640-jpg,,
Ford,Bronco II,2022,57995,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,23290,,1FMDE5BH5NLB25404,https://media.kijiji.ca/api/v1/autos-prod-ads/images/9c/9cc0958d-7b74-484a-982b-557270f37dc5?rule=kijijica-640-jpg,,
Chevrolet,Silverado 1500,2021,53990,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,56875,,3GCPYFEDXMG250305,https://media.kijiji.ca/api/v1/autos-prod-ads/images/a7/a77c3a16-bcfb-493a-900d-bfc5867ae963?rule=kijijica-640-jpg,,
Ford,Escape,2019,25999,Silver,,Used,"SUV, Crossover",4 x 4,Gasoline,1FMCU9GDXKUC15343,38752,,F10061A,https://media.kijiji.ca/api/v1/autos-prod-ads/images/a6/a6a652fa-a5ba-48fc-8917-0d283e82292b?rule=kijijica-640-jpg,,
BMW,3-Series,2009,7000,Sedan,,Used,All-wheel drive (AWD),Automatic,Gasoline,,249000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/1f/1f0c827c-070c-4447-8034-691325e62a22?rule=kijijica-640-jpg,,
Ram,1500,2020,39816,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,76534,,1C6RR7KT8LS116107,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8749432-5bd2-4104-95f5-42b4424b3819?rule=kijijica-640-jpg,,
Volkswagen,Tiguan,2018,25495,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,117249,,3VV2B7AXXJM039847,https://media.kijiji.ca/api/v1/autos-prod-ads/images/08/08a7165c-c450-402e-a0a1-5cb882c0d885?rule=kijijica-640-jpg,,
BMW,M4,2018,62999,Black,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,64893,,WBS4Z9C55JED22992,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b0/b0fef103-4215-42e8-9fc4-5d2704d6ee41?rule=kijijica-640-jpg,,
Hyundai,Santa Fe,2016,25749,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,84442,,KM8SNDHF0GU135083,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0c/0c4d2239-3fb8-47ee-a76b-fdbe36891a7d?rule=kijijica-640-jpg,,
GMC,Terrain,2019,26990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,61560,,3GKALTEV1KL301095,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c5/c5e693b0-52c2-4025-b596-fcbfdf50efc6?rule=kijijica-640-jpg,,
Ford,Ranger,2020,37990,Red,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,70044,,1FTER4FH7LLA18076,https://media.kijiji.ca/api/v1/autos-prod-ads/images/83/836c76ea-d90b-41ce-88f3-9feee459c19e?rule=kijijica-640-jpg,,
Ram,1500,2021,107829,Red,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,14819,,1C6SRFU97MN713326,https://media.kijiji.ca/api/v1/autos-prod-ads/images/3b/3bc78971-5e8d-4f4d-b7f8-40e4d9f61a41?rule=kijijica-640-jpg,,
BMW,M2,2021,72995,Black,,Used,Sedan,Rear-wheel drive (RWD),Gasoline,WBS2U7C09M7J21780,9420,,PPT21780,https://media.kijiji.ca/api/v1/autos-prod-ads/images/ec/ec693b17-2973-486f-b81c-4ab5753534e4?rule=kijijica-640-jpg,,
Nissan,Qashqai,2019,21995,Grey,,Used,"SUV, Crossover",Front-wheel drive (FWD),Manual,Gasoline,84569,,JN1BJ1CP5KW221052,https://media.kijiji.ca/api/v1/autos-prod-ads/images/a3/a3238f73-9be8-45a3-8e7e-e085b439e867?rule=kijijica-640-jpg,,
Chrysler,PT Cruiser,2005,9995,Silver,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,102633,,3C3AY75S65T621919,https://media.kijiji.ca/api/v1/autos-prod-ads/images/d4/d4c5d30b-5e7b-44d6-9900-ecfb0c0999f6?rule=kijijica-640-jpg,,
Ford,F-150,2021,62900,Other,,Used,Pickup Truck,4 x 4,Gasoline,1FTFW1ED6MFB73289,21640,,F23105B,https://media.kijiji.ca/api/v1/autos-prod-ads/images/25/25fc144c-6385-4787-909e-a0a12feac558?rule=kijijica-640-jpg,,
Volkswagen,Tiguan,2023,38989,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,14732,,3VVMB7AX7PM000554,https://media.kijiji.ca/api/v1/autos-prod-ads/images/98/98c87456-135f-4009-a66b-75b0e85e5f8e?rule=kijijica-640-jpg,,
Mazda,3,2021,27990,Grey,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,73788,,JM1BPADL6M1324486,https://media.kijiji.ca/api/v1/autos-prod-ads/images/97/97b9529c-537b-4534-b370-6ca609ca957e?rule=kijijica-640-jpg,,
Jaguar,F-Pace,2018,33490,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,69000,,SADCJ2GX6JA203984,https://media.kijiji.ca/api/v1/autos-prod-ads/images/9b/9b6959e0-9d84-405f-a573-a6c6cec34ac8?rule=kijijica-640-jpg,,
Lexus,RX,2022,52990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,21600,,2T2HZMDA6NC318894,https://media.kijiji.ca/api/v1/autos-prod-ads/images/30/301fffa7-691b-4166-8d68-310552d69df0?rule=kijijica-640-jpg,,
Porsche,911,2016,239990,Purple,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,33091,,WP0AF2A93GS192959,https://media.kijiji.ca/api/v1/autos-prod-ads/images/73/7321d0f3-7200-4012-b584-f45f6f73e328?rule=kijijica-640-jpg,,
Ram,1500,2017,31999,Other,,Used,Pickup Truck,4 x 4,Gasoline,1C6RR7FT1HS806590,78000,,F23140TA,https://media.kijiji.ca/api/v1/autos-prod-ads/images/88/883f69ab-0775-4c81-93f3-b204188f1711?rule=kijijica-640-jpg,,
Lexus,RX,2017,39990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,98415,,2T2BZMCA2HC089240,https://media.kijiji.ca/api/v1/autos-prod-ads/images/25/2500293e-c78a-44fb-81a3-43b4b39a4c49?rule=kijijica-640-jpg,,
Honda,Civic,2017,41990,Hatchback,,Used,Front-wheel drive (FWD),Manual,Gasoline,SHHFK8G38HU300481,68650,,S15882A,https://media.kijiji.ca/api/v1/autos-prod-ads/images/6f/6f5e3437-6ca5-4cbe-a49c-6299cd1f9f42?rule=kijijica-640-jpg,,
Ford,F-150,2020,41900,Silver,,Used,Pickup Truck,4 x 4,Gasoline,1FTEW1E47LFB21728,74459,,P1728,https://media.kijiji.ca/api/v1/autos-prod-ads/images/94/94a0f088-dcd9-495b-aaa5-d39c39f56364?rule=kijijica-640-jpg,,
Porsche,Cayenne,2021,119205,Orange,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,60147,,WP1BG2AY3MDA49906,https://media.kijiji.ca/api/v1/autos-prod-ads/images/54/54a87849-bc9f-44e4-825b-530963e4c764?rule=kijijica-640-jpg,,
Land Rover,Range Rover,2020,84595,White,,Used,"SUV, Crossover",4 x 4,Automatic,Diesel,36860,,SALGS2RK0LA595030,https://media.kijiji.ca/api/v1/autos-prod-ads/images/91/91e85788-7e4e-4a7d-aa1b-101d5307f345?rule=kijijica-640-jpg,,
Jaguar,F-Type,2020,61990,Black,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,26787,,SAJDD1EV6LCK68135,https://media.kijiji.ca/api/v1/autos-prod-ads/images/d0/d00fcfbd-1b6a-4f6c-ba2b-fe7f4984db54?rule=kijijica-640-jpg,,
Mitsubishi,RVR,2020,23990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,104040,,JA4AJ3AU2LU605617,https://media.kijiji.ca/api/v1/autos-prod-ads/images/3f/3f08f5f2-7aaa-4f2d-b7d1-3e953fd161de?rule=kijijica-640-jpg,,
Chevrolet,Silverado 1500,2014,12225,Red,,Used,Pickup Truck,Rear-wheel drive (RWD),Automatic,Gasoline,201000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/35/35c3dcdd-4980-44f7-959b-093aeb452041?rule=kijijica-640-jpg,,
Mercedes-Benz,Sprinter Van,2015,42000,Grey,,Used,"Minivan, Van",4 x 4,Automatic,Diesel,180000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/a2/a2b2833d-d90b-467b-8898-5e77026df109?rule=kijijica-640-jpg,,
Volkswagen,Passat,2013,7500,Sedan,,Used,,,,,162000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/79/795cad84-9962-4bf8-96d6-27e86b09deeb?rule=kijijica-640-jpg,,
Ram,1500,2024,77300,Red,,New,Pickup Truck,Other,Automatic,Gasoline,0,,1C6SRFLT9RN145634,,,
Hyundai,Sonata,2013,0,Automatic,,Used,Gasoline,,,,220700,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/d0/d0a81cfe-2f32-4d13-bd39-dbc63c7dc0ec?rule=kijijica-640-jpg,,
Ram,1500,2024,76700,Red,,New,Pickup Truck,Other,Automatic,Gasoline,0,,1C6SRFLT0RN145635,,,
Ram,1500,2024,77695,Blue,,New,Pickup Truck,Other,Automatic,Gasoline,0,,1C6SRFLT6RN145638,,,
Ram,1500,2023,54502,Red,,New,Pickup Truck,Other,Automatic,Gasoline,0,,1C6RR7KG2PS593799,,,
Ram,1500,2024,77745,Black,,New,Pickup Truck,Other,Automatic,Gasoline,0,,1C6SRFLT2RN145636,,,
Ram,1500,2024,77300,White,,New,Pickup Truck,Other,Automatic,Gasoline,0,,1C6SRFLT5RN145632,,,
Lincoln,MKX,2013,3000,"SUV, Crossover",,Used,,,,,530000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/99/9976cc21-a637-451d-8a5d-e8226a4a939b?rule=kijijica-640-jpg,,
Honda,S2000,2005,27500,Coupe (2 door),,Used,Rear-wheel drive (RWD),Manual,Gasoline,JHMAP214X5S008002,112000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/24/243c5d1f-ae36-4523-9e4e-e9ef5c2ed7ef?rule=kijijica-640-jpg,,
Land Rover,Range Rover Evoque,2020,41990,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,20756,,SALZJ2FXXLH014295,https://media.kijiji.ca/api/v1/autos-prod-ads/images/de/dee8aa16-f9b4-407b-9ab5-da64bf96f750?rule=kijijica-640-jpg,,
Honda,CR-V,2020,29000,,,Used,,,,,60000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/f0/f0542e29-00fe-47fd-b806-8e774a919763?rule=kijijica-640-jpg,,
Chevrolet,Silverado 1500,2013,12000,,,Used,,,,,190000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/fc/fcbd9b65-1d1e-4f31-af32-ff5a0288ba7c?rule=kijijica-640-jpg,,
Honda,CR-V,2013,17989,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,139254,,2HKRM4H77DH111545,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c6/c69efbef-180d-451a-aaeb-8f8357735194?rule=kijijica-640-jpg,,
Ford,EcoSport,2020,25990,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,47561,,MAJ6S3KL4LC383379,https://media.kijiji.ca/api/v1/autos-prod-ads/images/8e/8e0824f7-af8b-4f7f-ae46-91f6d96657a5?rule=kijijica-640-jpg,,
Ford,Escape,2009,3200,,,Used,,,,,245000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/e3/e33eee4b-c4e2-45cd-9c9f-4925a9239857?rule=kijijica-640-jpg,,
Cadillac,XTS,2018,28990,Black,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,123000,,2G61N5S33J9172799,https://media.kijiji.ca/api/v1/autos-prod-ads/images/6f/6ff199f2-4f7f-41b1-9258-327aaa46001e?rule=kijijica-640-jpg,,
GMC,Savana,2020,40988,White,,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Other,64467,,1GTW7AFG5L1172488,https://media.kijiji.ca/api/v1/autos-prod-ads/images/08/089ab127-20f3-45a3-90df-9ae32b5082b9?rule=kijijica-640-jpg,,
Toyota,Highlander,2015,23995,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,154896,,5TDD5RFH9FS218280,,,
Volkswagen,Golf,2010,7999,Hatchback,,Used,Front-wheel drive (FWD),Manual,Gasoline,,208768,,,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/3a/3a45d3c7-cbc5-40ff-b6e1-4a24ad636448?rule=kijijica-640-jpg,,
Toyota,Camry,2021,33990,Grey,,Used,Sedan,Other,Automatic,Gasoline,62630,,4T1G11AK8MU446845,https://media.kijiji.ca/api/v1/autos-prod-ads/images/f4/f471694d-2ecc-4be2-b805-41b505b8081a?rule=kijijica-640-jpg,,
Honda,Fit,2008,3500,Blue,,Used,Hatchback,Front-wheel drive (FWD),Manual,Gasoline,208127,,JHMGD37498S802686,,,
Ford,Ranger,2007,2900,Black,,Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,Gasoline,237000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/7b/7b77877c-b53d-405f-bfc2-0fd8daaaf3ee?rule=kijijica-640-jpg,,
Chevrolet,Corvette,2011,54000,Convertible,,Used,,,,,28000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/c2/c2aa89c9-66e6-4435-a996-cc4b682356f0?rule=kijijica-640-jpg,,
Toyota,Highlander,2020,44599,Other,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,60328,,5TDGZRBH9LS522428,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b6/b6420884-79f3-4f74-9b42-591aee21a840?rule=kijijica-640-jpg,,
Toyota,Corolla,2017,24995,Other,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,40425,,2T1BURHE9HC812318,https://media.kijiji.ca/api/v1/autos-prod-ads/images/d8/d877652a-707b-41c7-b53d-bf9f779e5fd5?rule=kijijica-640-jpg,,
Hyundai,Genesis,2016,20990,Black,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,138150,,KMHGN4JE4GU115863,https://media.kijiji.ca/api/v1/autos-prod-ads/images/26/26e1be9f-b96b-4ae4-b89f-02ed2184657c?rule=kijijica-640-jpg,,
Mazda,3,2021,27995,Grey,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,73788,,JM1BPADL6M1324486,https://media.kijiji.ca/api/v1/autos-prod-ads/images/97/97b9529c-537b-4534-b370-6ca609ca957e?rule=kijijica-640-jpg,,
GMC,Acadia,2011,6500,,,Used,,,,,314000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/93/9342b09e-6fe6-49a4-b451-9d23455ac205?rule=kijijica-640-jpg,,
Land Rover,Range Rover Sport,2017,47490,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,95127,,SALWR2FE8HA134610,https://media.kijiji.ca/api/v1/autos-prod-ads/images/00/007ae465-0976-4891-95dc-1bf9aaf6f7c0?rule=kijijica-640-jpg,,
Land Rover,Discovery,2019,46990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,76517,,SALRT2RV9K2412992,https://media.kijiji.ca/api/v1/autos-prod-ads/images/d7/d7618be7-3f7b-41e1-a00f-8bd6f644282c?rule=kijijica-640-jpg,,
Chevrolet,Silverado 1500,2017,31000,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,105600,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/25/25caf00c-db08-482d-af59-f193e000dd63?rule=kijijica-640-jpg,,
Chrysler,200-Series,2015,8990,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,216000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/95/9540e99a-e5ae-4fd3-bbf5-5012a9033c29?rule=kijijica-640-jpg,,
Hyundai,Sonata,2011,8000,Grey,,Used,Sedan,Automatic,Gasoline,,160,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/1b/1b50d375-996a-4bf6-8600-20028d3333ec?rule=kijijica-640-jpg,,
Dodge,Challenger,2016,42000,Coupe (2 door),,Used,Rear-wheel drive (RWD),Automatic,Gasoline,,78000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/84/84713811-8e80-46e8-a036-8f87e963bda7?rule=kijijica-640-jpg,,
Ford,F-150,2018,36952,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,113177,,1FTEW1E58JFA45863,https://media.kijiji.ca/api/v1/autos-prod-ads/images/a1/a1f6abc7-e68c-4c6d-ad41-7ec54008312a?rule=kijijica-640-jpg,,
Hyundai,Tucson,2017,21500,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,92000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/35/35bcea17-6a43-475f-bf94-ba882e6a39ad?rule=kijijica-640-jpg,,
Honda,Accord,2006,5500,Silver,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,198426,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/c4/c412719f-8fd1-424c-b923-332e0204a265?rule=kijijica-640-jpg,,
Volkswagen,Golf,2008,4000,Hatchback,,Used,Front-wheel drive (FWD),Manual,Gasoline,,214000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/d7/d748088b-a35d-4c39-b9fa-1c25b87678e0?rule=kijijica-640-jpg,,
